race_id,driver_id,position,time_ms,lap
52,3,4,73475,71
52,4,3,77842,71
52,5,14,75730,35
52,6,10,73178,70
52,8,1,75380,71
52,9,5,75951,71
52,11,12,77474,69
52,13,2,72584,71
52,14,9,76106,70
52,15,8,73650,70
52,16,15,82348,43
52,17,5,74431,14
52,18,10,74039,20
52,19,14,75208,68
52,20,14,131759,34
52,21,21,122680,2
52,22,13,85232,40
52,23,11,73550,70
52,24,13,76175,69
52,29,19,110404,2
53,2,12,95064,56
53,3,7,93434,57
53,4,1,94217,57
53,8,3,93664,57
53,11,18,98317,53
53,13,9,93954,57
53,14,10,95083,57
53,15,16,97148,56
53,17,6,95629,57
53,18,4,93261,57
53,21,19,174778,21
53,22,15,94720,56
53,23,14,94626,56
53,24,11,96084,57
53,26,13,94464,56
53,30,2,93454,57
53,31,5,94986,57
53,32,8,95287,57
53,33,17,98163,55
53,34,19,98473,35
53,35,9,94601,29
54,2,5,96124,48
54,3,6,97366,6
54,4,2,96000,56
54,11,14,103883,53
54,13,5,96645,56
54,14,13,108840,10
54,15,9,96755,55
54,17,10,121417,15
54,18,3,96170,56
54,21,1,98210,56
54,22,10,96639,55
54,23,8,96247,56
54,24,11,98846,54
54,26,12,109435,41
54,27,12,98523,54
54,30,6,96583,56
54,31,4,97063,56
54,32,18,100806,26
54,33,13,101273,54
54,34,17,107052,33
54,35,7,96377,56
55,2,4,88154,57
55,4,1,88601,57
55,8,2,86045,57
55,11,12,131615,55
55,14,9,89126,57
55,17,1,88437,22
55,18,5,88718,56
55,21,5,90333,57
55,22,7,90412,57
55,23,3,88757,57
55,24,9,130755,37
55,26,8,89604,57
55,27,11,95062,56
55,30,6,88127,32
55,31,13,230664,46
55,32,14,101351,4
55,33,12,148581,39
55,34,13,98745,54
55,35,6,89676,57
56,2,13,86798,61
56,3,11,87028,62
56,4,2,86673,62
56,8,5,86135,62
56,11,18,90684,44
56,13,4,86116,62
56,14,16,135299,47
56,15,10,90230,5
56,17,6,87441,62
56,18,7,87021,62
56,21,8,85839,62
56,22,10,87171,62
56,23,9,87984,62
56,24,14,86733,61
56,26,15,86348,61
56,30,1,86808,62
56,31,3,86572,62
56,32,17,88819,40
56,33,16,90463,60
56,34,20,96455,23
56,35,12,86209,62
57,2,10,94384,59
57,3,7,94367,60
57,4,2,94459,60
57,8,4,94233,60
57,11,16,101701,45
57,13,3,94333,60
57,14,21,144500,2
57,15,9,96460,59
57,17,12,95746,12
57,18,6,94462,28
57,21,6,94645,60
57,22,5,94060,60
57,23,6,95003,52
57,26,11,94354,59
57,27,13,96192,59
57,30,1,96990,60
57,31,9,94620,52
57,32,14,97137,28
57,33,12,96741,59
57,35,8,97302,60
57,36,17,99504,29
58,2,8,78733,65
58,3,11,79698,65
58,4,1,80424,66
58,8,5,78935,66
58,11,17,81556,62
58,13,4,79924,66
58,14,14,78472,65
58,15,10,79452,65
58,17,9,77983,65
58,18,6,77996,66
58,21,3,78609,66
58,22,7,79679,65
58,23,18,123432,31
58,24,14,78831,63
58,26,14,84665,47
58,27,18,86942,48
58,30,2,81486,66
58,31,10,79482,17
58,32,13,79422,65
58,33,16,80801,63
58,35,12,79194,65
58,36,22,103022,10
59,2,7,77655,77
59,3,14,117107,51
59,4,1,82310,78
59,8,2,136032,50
59,11,22,134783,46
59,13,9,77910,77
59,14,3,78823,78
59,15,3,77861,72
59,17,3,78767,48
59,18,11,81037,77
59,21,6,78350,78
59,22,4,78523,78
59,23,8,78186,77
59,24,10,78567,77
59,26,13,77481,77
59,27,12,77603,77
59,30,5,78607,78
59,31,2,80796,78
59,32,5,80469,56
59,33,15,78880,76
59,35,14,82678,77
59,36,16,79650,75
60,2,7,83863,60
60,3,9,83479,60
60,4,1,84798,60
60,8,3,82722,60
60,11,17,88941,57
60,13,5,84725,60
60,14,12,84889,59
60,15,11,89002,59
60,18,12,85207,8
60,21,4,83060,60
60,22,10,86449,59
60,24,13,85932,59
60,26,20,128623,1
60,27,15,85192,59
60,30,2,86187,60
60,31,6,86372,60
60,32,14,87287,59
60,33,16,89211,58
60,35,8,84432,60
60,36,18,87808,57
61,2,7,78364,69
61,3,5,86579,1
61,4,1,78061,70
61,8,3,80463,70
61,11,14,81732,64
61,13,5,80819,70
61,14,8,78298,69
61,15,6,78299,69
61,17,12,83858,69
61,18,9,78976,69
61,21,4,79077,70
61,22,12,79407,11
61,23,17,95877,58
61,24,13,80887,68
61,26,10,78925,69
61,30,2,76605,70
61,31,16,82857,13
61,32,11,80455,69
61,33,14,83602,66
61,35,8,77733,58
61,36,18,127709,2
62,3,9,74895,72
62,4,5,74164,73
62,11,11,103802,6
62,13,2,76505,73
62,14,7,77014,72
62,15,4,76509,73
62,18,15,133839,3
62,21,3,74738,73
62,22,6,74195,73
62,23,5,74244,62
62,24,8,77082,72
62,27,11,75650,37
62,30,1,80732,73
62,33,13,82036,9
62,35,7,74421,23
63,2,8,79842,69
63,3,14,80206,68
63,4,2,80602,70
63,8,5,80642,70
63,13,3,81795,70
63,14,9,79541,69
63,15,11,133774,39
63,17,18,89854,53
63,18,14,94718,61
63,21,6,78982,70
63,22,14,80189,18
63,23,4,78698,70
63,24,13,79528,69
63,26,10,80682,69
63,27,15,79498,68
63,30,1,83592,70
63,32,12,79214,69
63,33,21,111965,11
63,35,11,79479,69
63,36,16,81153,67
63,37,7,78146,70
64,2,19,89284,9
