race_id,driver_id,count
957,13,51
343,13,58
86,14,18
107,4,71
33,18,66
940,830,53
887,814,52
166,18,71
861,814,56
1025,840,53
12,22,44
101,14,66
59,35,77
210,63,60
1066,849,47
1056,815,78
903,807,56
45,17,60
96,32,59
181,37,71
106,8,53
886,8,69
900,822,57
345,1,57
11,10,57
860,811,52
893,1,61
128,2,65
350,807,53
201,50,24
864,4,66
881,1,56
85,4,53
894,821,55
169,63,76
1030,844,55
852,1,12
845,24,28
47,20,57
94,43,65
222,55,53
967,839,71
952,18,65
954,832,69
84,32,58
150,56,54
857,18,60
25,9,70
865,13,78
67,14,52
135,35,27
50,5,67
81,18,60
1047,840,55
999,1,67
190,69,43
1012,840,55
1080,830,64
1074,4,57
84,8,58
143,49,63
84,35,57
238,65,69
183,14,71
182,41,41
63,32,69
354,16,70
929,833,54
982,832,58
1046,849,52
235,73,74
956,837,70
1043,154,63
342,24,78
3,9,56
187,49,53
172,64,72
9,5,60
934,13,52
971,815,57
877,5,55
908,825,52
954,822,70
132,17,58
96,44,59
8,5,36
9,20,60
1022,840,44
207,21,14
988,815,55
876,818,59
1058,849,68
12,9,44
212,15,62
943,829,69
1016,847,68
882,3,21
911,821,44
1027,840,70
1062,852,70
36,17,57
220,30,71
861,818,56
848,16,56
349,3,44
19,21,55
172,57,25
1074,849,57
210,22,32
909,817,67
887,18,52
112,31,65
204,55,53
994,825,78
343,5,33
2,2,31
887,4,52
984,825,53
79,27,71
178,44,40
1029,817,71
234,56,34
64,4,67
136,13,77
38,21,57
1070,842,71
120,21,28
172,22,73
10,1,70
977,807,70
37,5,56
29,1,57
197,64,68
148,41,68
1039,815,59
199,71,13
968,825,5
77,13,58
25,20,70
964,828,52
83,8,70
140,22,53
351,811,29
991,20,56
888,813,60
1051,841,56
92,11,57
350,18,53
850,10,57
963,18,56
99,11,15
233,22,61
23,21,36
93,43,32
1070,840,69
1047,8,54
172,23,58
47,22,57
232,83,69
1043,849,63
1046,846,87
963,828,55
848,20,57
870,30,58
1065,849,53
1007,844,69
1063,8,1
846,816,75
198,49,68
225,83,68
1006,830,56
954,18,9
175,22,57
210,71,11
939,807,12
1064,822,72
19,18,56
186,71,44
109,42,42
188,55,35
105,10,55
1092,840,28
81,23,60
929,822,57
1065,815,53
999,20,51
46,15,69
173,2,41
1002,8,53
167,41,58
958,20,70
227,50,38
165,22,69
1038,847,53
1042,154,65
32,15,50
113,23,68
65,23,69
928,830,52
905,155,75
14,18,61
150,44,71
1042,20,65
961,825,52
1078,815,57
147,54,24
931,830,62
1025,8,53
348,20,70
974,817,78
887,823,52
108,31,58
53,33,55
159,18,70
97,47,66
127,59,50
986,842,70
915,807,53
106,30,53
1011,822,57
180,48,68
904,822,66
112,49,38
1032,848,71
891,824,43
867,811,57
227,55,1
934,807,52
230,21,1
355,4,55
90,22,58
97,46,30
74,2,62
30,4,44
48,29,52
902,4,57
864,818,65
47,2,58
1032,847,69
1031,839,71
158,18,46
115,42,66
961,154,52
860,3,58
1078,839,57
105,13,56
907,828,69
354,807,70
858,17,55
1034,840,52
1027,154,69
873,817,59
862,817,56
135,2,66
355,17,55
27,4,67
102,44,69
930,154,65
211,23,10
1022,842,44
875,37,16
912,813,52
844,808,58
14,16,23
192,71,70
1062,841,69
117,15,45
893,817,23
948,836,56
345,16,57
870,39,60
78,17,70
1004,843,4
239,83,50
66,32,57
11,9,57
1,13,45
842,5,55
992,8,51
145,59,8
888,8,60
1085,4,53
19,6,54
212,22,37
126,49,25
1021,822,69
1089,20,10
173,23,41
180,21,69
87,23,70
1089,839,53
875,39,53
1029,844,65
1002,845,52
985,4,24
198,57,71
15,16,53
1003,822,61
949,832,29
237,79,51
33,2,67
886,824,68
1004,840,52
36,13,58
185,22,77
942,826,41
855,13,53
872,18,32
936,829,65
861,807,56
853,811,52
976,154,50
1044,1,58
37,23,55
75,21,66
198,50,69
858,67,19
1086,852,68
886,16,69
68,27,53
1021,841,68
1041,847,12
957,8,52
881,8,56
81,13,59
82,32,67
80,22,69
929,817,57
147,49,49
8,18,60
842,22,22
993,832,65
73,13,56
66,21,58
219,57,53
959,13,36
848,13,57
855,155,53
851,24,65
113,35,68
976,8,46
1016,848,59
160,50,59
170,41,43
29,12,57
1028,9,31
885,822,78
85,17,52
94,30,66
900,3,57
17,8,55
205,55,66
905,8,77
1047,830,55
349,13,44
127,49,25
853,30,53
964,830,53
872,807,50
941,832,45
957,831,51
955,822,51
166,21,71
169,15,76
978,830,51
841,1,58
121,18,24
6,6,76
1012,154,55
1027,822,71
348,4,70
883,18,57
211,14,1
13,4,53
991,839,56
1060,830,71
22,20,57
1000,830,5
851,20,70
897,4,55
1072,832,50
1047,815,8
341,807,64
1084,815,24
1006,807,56
218,21,44
983,832,29
157,8,5
892,8,53
1089,840,39
967,18,71
220,63,48
859,808,70
152,56,16
1052,20,55
1024,807,61
841,16,57
943,154,71
29,13,57
355,155,55
194,74,60
33,10,6
181,49,72
1058,8,70
187,23,53
871,8,44
73,30,12
878,813,56
971,840,12
852,20,44
1091,822,59
223,56,69
167,54,69
50,13,67
1008,817,71
978,828,50
981,840,53
215,56,44
1038,825,17
231,77,42
348,808,70
903,817,56
64,21,67
58,18,66
999,830,67
7,22,47
120,43,68
842,1,56
196,57,78
1031,848,67
94,31,46
1087,849,43
1013,154,38
351,18,61
948,832,57
5,6,65
908,155,50
872,819,52
84,18,58
898,814,56
1082,839,70
991,807,56
964,832,52
1012,815,55
1081,844,21
108,4,58
71,2,42
185,63,75
1081,855,23
147,44,13
1070,849,69
118,2,58
28,14,70
222,21,53
159,57,30
899,5,70
215,58,58
67,11,51
902,828,33
171,35,14
876,807,60
1060,841,70
972,830,52
63,17,53
169,22,77
144,35,30
1029,822,51
895,3,53
868,39,50
339,9,56
1046,850,87
188,23,66
914,815,43
167,14,71
234,73,44
864,5,65
156,22,71
146,55,69
993,8,25
43,17,69
344,67,69
181,23,72
854,18,61
49,22,43
14,2,19
1039,847,59
978,1,51
191,30,5
192,75,3
950,13,56
213,79,5
18,14,25
169,18,76
155,23,53
877,30,55
102,18,70
92,22,57
49,19,43
57,21,60
959,825,66
109,17,35
218,64,44
957,4,51
849,815,52
183,44,70
1053,853,61
956,20,26
339,811,52
938,828,52
850,4,60
1017,848,52
884,819,65
41,26,8
337,5,47
125,17,34
189,41,6
1043,817,63
1056,842,78
210,65,18
27,20,67
204,44,15
898,1,56
36,14,48
338,18,58
74,11,62
856,5,54
115,22,70
956,821,70
343,16,58
882,17,15
1016,8,69
122,31,72
123,8,53
227,83,65
861,39,54
1055,832,66
18,4,58
122,44,27
67,3,9
1065,844,53
228,83,61
1037,1,44
144,58,50
2,6,31
158,30,58
990,832,56
157,2,52
4,16,56
926,832,57
52,29,2
41,15,58
355,3,55
1022,847,43
998,843,1
995,4,40
1079,840,65
979,20,70
55,34,54
221,81,66
973,4,64
57,14,2
1064,9,70
843,808,56
989,20,58
950,837,55
80,4,70
157,30,53
150,54,71
872,808,52
909,815,66
17,16,54
1040,825,52
55,17,22
349,153,44
184,15,10
210,23,17
1011,848,57
1033,849,65
107,46,67
196,68,76
934,1,52
1062,842,70
1059,20,53
101,13,65
944,1,71
845,813,65
931,20,78
883,814,57
222,57,53
237,86,5
902,20,57
85,23,53
182,21,60
988,825,54
163,35,46
907,4,71
155,44,52
1012,825,55
987,836,70
129,30,71
105,14,56
866,807,70
206,44,50
148,55,69
157,50,51
17,21,54
908,822,52
187,63,53
94,11,66
933,826,70
1054,840,65
101,31,66
218,30,44
1041,20,60
843,5,55
884,4,66
97,2,68
24,2,70
1010,826,57
69,15,53
138,18,53
952,20,66
341,30,66
218,55,44
166,49,71
944,807,70
1081,839,51
1069,4,49
1056,853,75
32,21,61
945,830,54
900,4,57
927,826,55
871,817,44
338,10,41
908,813,49
879,808,70
949,3,57
198,30,71
162,50,25
126,22,16
44,24,53
857,1,60
1018,807,70
199,30,60
893,813,61
872,1,53
1056,830,78
226,71,72
929,1,57
1019,822,52
214,14,71
154,58,32
3,7,56
1030,825,54
352,18,53
49,5,44
1021,840,68
231,22,22
116,4,60
221,55,67
869,20,67
969,13,57
199,21,59
1036,826,65
138,62,47
200,21,21
900,154,43
344,808,68
22,8,58
873,154,59
968,4,55
88,30,53
1041,817,60
183,68,25
33,15,67
959,822,66
149,15,44
214,58,5
1072,817,50
1080,855,63
111,44,61
1006,154,2
78,8,70
43,13,70
1026,20,52
83,39,67
928,13,56
1083,815,52
21,12,6
200,63,1
1034,1,52
154,49,35
54,31,56
968,20,55
905,826,10
1077,1,62
876,30,55
1024,841,61
914,807,44
91,22,56
122,21,72
110,30,26
864,819,35
1042,825,65
847,5,28
338,3,58
143,14,71
